q,trait,reverse
אני סקרן לגבי העולם סביבי,Openness,False
אני לא מנסה להשיג דברים על ידי שימוש בכוח,Honesty-Humility,False
אני סקרן לגבי איך דברים עובדים,Openness,False
אני מרגיש סיפוק רב כשאני מצליח לעזור לאדם להתגבר על פחד.,Emotionality,FALSE
אני חושב שיושרה מקצועית חשובה יותר מלהיות אהוב על כולם.,Honesty-Humility,FALSE
אני מוצא את זה משעמם לקרוא הוראות הפעלה לפני שאני משתמש במכשיר חדש.,Conscientiousness,TRUE
אני נוטה להימנע משיפוטיות כלפי אחרים,Agreeableness,False
אני נוטה להבליג על טעויות קטנות של אחרים כדי לא לפגוע בביטחונם.,Agreeableness,FALSE
אני נהנה להשתתף בדיונים אינטלקטואליים שמעוררים מחשבה.,Openness to Experience,FALSE
אני מאמין שכל אדם צריך לקבל הזדמנות שנייה, לא משנה מה עשה.,Agreeableness,FALSE
אני מרגיש בטוח ביכולת שלי להרגיע מטופל לחוץ רק בעזרת שיחה.,Extraversion,FALSE
אני מרגיש משיכה לאמנות מודרנית,Openness,False
אני מרגיש מחויבות מוסרית לעזור לאנשים שפחות מזלם משלי.,Honesty-Humility,FALSE
היחס שלי לאנשים שהתייחסו אליי רע הוא לסלוח ולשכוח.,Agreeableness,FALSE
אני חושב שזה בזבוז זמן לקרוא ספרים על פילוסופיה או תיאוריות.,Openness to Experience,TRUE
אני מרגיש שמח כשאני נמצא עם חברים קרובים,Extraversion,False
אני נהנה לחקור נושאים לעומק עד שאני מבין כל פרט קטן.,Openness to Experience,FALSE
אני חושב שחשוב מאוד להיחשף לסוגים שונים של מוזיקה מרחבי העולם.,Openness to Experience,FALSE
אני מוצא את זה קל להתחבר לאנשים חדשים במפגשים חברתיים.,Extraversion,FALSE
אני חושב שרוב האמנות המודרנית היא חסרת משמעות.,Openness to Experience,TRUE
אני חושב שזה בסדר לקחת קרדיט על עבודה קבוצתית אם אני הייתי המוביל.,Honesty-Humility,TRUE
אני מרגיש צורך בתמיכה רגשית מהמשפחה שלי כשאני נכשל במשהו.,Emotionality,FALSE
אני תמיד מגיע לפגישות כמה דקות לפני הזמן.,Conscientiousness,FALSE
אני נהנה ללמוד על שיטות חקירה משטרתיות ומדעי הפורנזיקה.,Openness to Experience,FALSE
אני תמיד בודק שהמסמכים שלי מאורגנים בתיקיות מסודרות.,Conscientiousness,FALSE
אני נוטה לדאוג לגבי ההשפעה של המעשים שלי על אחרים.,Emotionality,FALSE
אני חושב שלהקדיש תשומת לב לרעיונות רדיקליים זה בזבוז הזמן.,Openness to Experience,TRUE
אני תמיד מוודא שכל המדדים נרשמו בדיוק בזמן אמת.,Conscientiousness,FALSE
אני נהנה לחשוב על הקשרים שבין מדע לפילוסופיה.,Openness to Experience,FALSE
אני נוטה להיות מאוד ביקורתי כלפי עצמי כשאני נכשל.,Emotionality,FALSE
רוב האנשים נוטים לכעוס במהירות רבה יותר ממני.,Agreeableness,FALSE
אני מרגיש רע מאוד כשאני מאחר לפגישה, אפילו בכמה דקות.,Conscientiousness,FALSE
אני נוטה להרגיש חרדה אם אני לא מקבל תשובה להודעה חשובה תוך זמן קצר.,Emotionality,FALSE
אני מרגיש חרדה כשאני צריך להתמודד עם ביקורת,Emotionality,True
אני נוטה להסתגר בעצמי כשיש עומס עבודה גדול מדי במחלקה.,Extraversion,TRUE
אני נוטה להיכנס לפאניקה כשאני הולך לאיבוד במקום לא מוכר.,Emotionality,FALSE
אני נהנה לחקור את הקשר בין תזונה לבריאות הנפש.,Openness to Experience,FALSE
אני נהנה לחקור נושאים מדעיים,Openness,False
אני נהנה ללמוד על הדרכים שבהן ניתן להאריך את חיי האדם.,Openness to Experience,FALSE
אני נהנה להכיר אנשים חדשים באירועים חברתיים גדולים.,Extraversion,FALSE
אני תמיד משתדל להיות צודק כלפי כולם,Honesty-Humility,False
אני אוהב לנסות דברים חדשים,Openness,False
אני מוצא את עצמי דואג לבריאות שלי הרבה יותר ממה שאנשים אחרים דואגים.,Emotionality,FALSE
אני נוטה להרגיש אמפתיה כלפי זרים,Emotionality,False
אני נוטה להרגיש פחד כשאני שומע רעשים מוזרים בלילה.,Emotionality,FALSE
אני תמיד משתדל לדבר בשפה מכבדת, גם עם אנשים שלא מכבדים אותי.,Agreeableness,FALSE
אני לא מרגיש צורך להפגין עושר או כוח,Honesty-Humility,False
אני נוטה להגיב באימפולסיביות כשאני כועס.,Agreeableness,TRUE
אני תמיד מוצא נושאי שיחה משותפים עם כל אדם שאני פוגש.,Extraversion,FALSE
אני מרגיש בנוח להביע חרטה כשאני מבין שפגעתי במישהו.,Honesty-Humility,FALSE
אני מרגיש לא בנוח כשמשבחים אותי יותר מדי.,Honesty-Humility,FALSE
אני נוטה ליזום שיחות טלפון עם חברים רחוקים.,Extraversion,FALSE
אני מרגיש מתח כשאני צריך להתמודד עם שינויים,Emotionality,True
אני נוטה להרגיש חרדה כשאני נמצא במקום הומה אדם.,Emotionality,FALSE
אני מפחד לגור במקומות מסוכנים.,Emotionality,FALSE
אני מאמין שכל אדם צריך לפעול קודם כל לטובת האינטרסים שלו.,Honesty-Humility,TRUE
אני נהנה לחקור את האבולוציה של בעלי החיים.,Openness to Experience,FALSE
אני רוצה שאנשים ידעו שאני אדם חשוב ממעמד גבוה.,Honesty-Humility,TRUE
אני נוטה להתווכח על כל פרט קטן כשאני בטוח שאני צודק.,Agreeableness,TRUE
אני מרגיש בנוח לקחת הובלה כשלאף אחד אחר אין מושג מה לעשות.,Extraversion,FALSE
אני תמיד מוודא שהמפתחות שלי נמצאים באותו מקום קבוע.,Conscientiousness,FALSE
